feature,importance
z_23,0.015066605507327661
z_24,0.014933467090628144
x_25,0.014568355329604123
x_23,0.014250936085740748
y_23,0.013948503224071923
y_24,0.013568055903721803
x_11,0.01334682242311212
x_24,0.013221526865590295
x_26,0.01312283840769467
x_27,0.0126433867094724
x_29,0.012196542108932099
x_31,0.01182737113310945
x_30,0.011654599480315254
x_28,0.011644314494020109
x_13,0.011557616620448397
y_25,0.011443448970709813
x_17,0.011322811930960424
x_32,0.011295419144569723
x_21,0.010945639325495086
y_31,0.010559758687976206
x_15,0.010411785254859262
x_19,0.010394357857053615
x_12,0.010380256284241636
y_26,0.010287281778232526
y_29,0.010286077105603966
y_27,0.010107132211945894
y_30,0.009960553837927462
y_28,0.009934960956249085
y_11,0.009871433615208019
y_32,0.00975998772536811
y_14,0.009642992911751058
y_12,0.009637026265257259
y_7,0.009555641534846488
x_14,0.00949514076540305
x_18,0.009341981424785721
y_17,0.009011636669133918
x_16,0.008912599382617067
y_19,0.008777709573038209
y_20,0.008711727333759942
y_8,0.008703221386047085
z_12,0.00864971813816358
v_14,0.008640648823280006
y_18,0.0085726124686666
z_25,0.008568021159290467
z_27,0.00847509521916829
x_20,0.008427943723080396
x_8,0.008386782939414566
y_13,0.008327095914372775
x_22,0.008241722755827564
v_13,0.00812746162245467
y_21,0.007996670826818153
x_7,0.007908930369272734
z_14,0.007798190333802801
z_31,0.007682073329297571
y_22,0.007560051671774516
v_31,0.007542577547872054
z_29,0.007524027569174937
z_26,0.007476852157550186
x_2,0.007453427321436661
x_1,0.007404086170414253
v_27,0.007383057831009335
x_3,0.007373350319576595
y_6,0.007254577367298643
y_3,0.007229918283382044
z_11,0.007202161024598849
x_4,0.007194367410441061
z_8,0.007113117245056496
x_6,0.007081751814381335
y_15,0.007044428708810755
x_5,0.006904562475727065
y_2,0.006790581627358331
y_5,0.006700983945163403
x_0,0.006691929488133509
v_28,0.0066899540939883905
x_9,0.006686022184187328
z_13,0.0066722885183213045
z_28,0.0066672016362606945
z_32,0.006664671307410578
y_4,0.006619873366213537
v_25,0.006570155646767568
v_26,0.0065222047424544705
y_1,0.0065161574898493
x_10,0.006484259339105543
v_32,0.006358915222703999
z_30,0.00635273085914817
v_24,0.006326945713475762
y_10,0.00622173096205189
y_9,0.0062214663987407905
v_23,0.006160611407060609
y_16,0.006136181240266978
v_16,0.005955930168726381
v_15,0.005790495513877818
y_0,0.005747436014385705
v_18,0.005634198271241727
v_30,0.005591374599364414
z_10,0.005564939520292386
z_7,0.005543845359402485
v_20,0.005543090106028069
v_22,0.005531426739962014
v_17,0.005291887012126303
v_19,0.005236024118994471
z_4,0.005224557056624544
z_16,0.005176218175401908
z_6,0.005135872861900502
v_11,0.005130545822436317
v_29,0.005108283408929619
z_0,0.005103621810146627
z_9,0.005044358817649804
z_5,0.004915749364786339
v_21,0.004873717844495519
z_2,0.004828054037645834
z_3,0.004744505735083801
z_18,0.004741860399740138
z_1,0.004672661937241839
v_12,0.004590583726666236
z_22,0.004559321762123733
z_20,0.004502264366883325
v_10,0.003886620335425727
v_0,0.0038391853955299232
z_21,0.0037438907944581587
v_9,0.0036813360277891003
z_17,0.0036623687779323987
z_15,0.0036278988405469134
z_19,0.0035902818375081447
v_1,0.0034970530213771943
v_3,0.0032507086442517407
v_6,0.0032306999262439098
v_7,0.0031336993409157147
v_5,0.0031310260452230843
v_4,0.0030900254343712756
v_2,0.0030134934944831978
v_8,0.0029372164848786783
